project,surface_type,source_path,canonical_doc_path,audience,diataxis_type,owner_status,verification_command,gap_status,reviewer_notes
pilot,project-root,.,README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,configuration,.env.example,docs/documentation-coverage.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,ci-cd,.github,.github/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,surface,apps,apps/README.md,developer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,surface,docs,docs/README.md,maintainer,explanation,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,surface,e2e,e2e/README.md,maintainer,tutorial,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,surface,infra,infra/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,surface,loadtests,loadtests/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,configuration,package-lock.json,README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,package.json,README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,surface,packages,packages/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,surface,packs,packs/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,surface,pipelines,pipelines/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,surface,scripts,scripts/README.md,maintainer,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,surface,services,services/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,surface,tests,tests/README.md,maintainer,tutorial,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,configuration,tsconfig.base.json,README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,surface,.github/ISSUE_TEMPLATE,.github/ISSUE_TEMPLATE/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,ci-cd,.github/workflows,.github/workflows/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,app,apps/agent,apps/agent/README.md,developer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,app,apps/telegram-bot,apps/telegram-bot/README.md,developer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,app,apps/telegram-miniapp,apps/telegram-miniapp/README.md,developer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,app,apps/web,apps/web/README.md,developer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,configuration,e2e/package.json,e2e/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,e2e/playwright.config.ts,e2e/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,test-surface,e2e/tests,e2e/README.md,maintainer,tutorial,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,e2e/tsconfig.json,e2e/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,infrastructure,infra/digitalocean,infra/digitalocean/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,infrastructure,infra/docker,infra/docker/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,infrastructure,infra/monitoring,infra/monitoring/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,infrastructure,infra/scripts,infra/scripts/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,surface,loadtests/k6,loadtests/README.md,maintainer,explanation,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,package,packages/connectors,packages/connectors/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,package,packages/db,packages/db/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,package,packages/helm-client,packages/helm-client/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,package,packages/legacy-audit,packages/legacy-audit/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,package,packages/sandbox,packages/sandbox/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,package,packages/shared,packages/shared/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,surface,packs/skills,packs/README.md,maintainer,explanation,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,surface,packs/subagents,packs/README.md,maintainer,explanation,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,surface,pipelines/intelligence,pipelines/README.md,maintainer,explanation,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,pipelines/requirements.txt,pipelines/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,surface,pipelines/scraper,pipelines/README.md,maintainer,explanation,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,surface,pipelines/yc-scraper,pipelines/README.md,maintainer,explanation,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,service,services/application-engine,services/application-engine/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,service,services/cofounder-engine,services/cofounder-engine/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,service,services/content-engine,services/content-engine/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,service,services/decision-court,services/decision-court/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,service,services/finance-engine,services/finance-engine/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,service,services/founder-intel,services/founder-intel/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,service,services/gateway,services/gateway/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,service,services/launch-engine,services/launch-engine/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,service,services/mcp-server,services/mcp-server/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,service,services/memory,services/memory/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,service,services/orchestrator,services/orchestrator/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,service,services/product-factory,services/product-factory/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,service,services/seo-engine,services/seo-engine/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,service,services/yc-intel,services/yc-intel/README.md,operator,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Covered by canonical documentation; update this row when the source surface moves or changes lifecycle.
pilot,test-surface,tests/load,tests/load/README.md,maintainer,tutorial,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,ci-cd,.github/workflows/ci.yml,.github/workflows/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,ci-cd,.github/workflows/claude-code-async-review.yml,.github/workflows/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,ci-cd,.github/workflows/deploy.yml,.github/workflows/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,ci-cd,.github/workflows/label-gate.yml,.github/workflows/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,ci-cd,.github/workflows/release.yml,.github/workflows/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,ci-cd,.github/workflows/restore-drill.yml,.github/workflows/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,ci-cd,.github/workflows/security.yml,.github/workflows/README.md,operator,how-to,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,apps/agent/package.json,apps/agent/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,apps/agent/tsconfig.json,apps/agent/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,apps/telegram-bot/package.json,apps/telegram-bot/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,apps/telegram-bot/tsconfig.json,apps/telegram-bot/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,apps/telegram-bot/vitest.config.ts,apps/telegram-bot/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,apps/telegram-miniapp/package.json,apps/telegram-miniapp/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,apps/telegram-miniapp/tsconfig.json,apps/telegram-miniapp/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,apps/telegram-miniapp/vite.config.ts,apps/telegram-miniapp/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,apps/telegram-miniapp/vitest.config.ts,apps/telegram-miniapp/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,apps/web/next.config.ts,apps/web/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,apps/web/package.json,apps/web/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,apps/web/tsconfig.json,apps/web/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,apps/web/vitest.config.ts,apps/web/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,infra/digitalocean/docker-compose.yml,infra/digitalocean/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,infra/docker/docker-compose.yml,infra/docker/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/connectors/package.json,packages/connectors/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/connectors/tsconfig.json,packages/connectors/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/connectors/vitest.config.ts,packages/connectors/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/db/drizzle.config.ts,packages/db/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/db/package.json,packages/db/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/db/tsconfig.json,packages/db/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/db/vitest.config.ts,packages/db/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/helm-client/package.json,packages/helm-client/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/helm-client/tsconfig.json,packages/helm-client/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/legacy-audit/package.json,packages/legacy-audit/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/legacy-audit/tsconfig.json,packages/legacy-audit/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/sandbox/package.json,packages/sandbox/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/sandbox/tsconfig.json,packages/sandbox/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/shared/package.json,packages/shared/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/shared/tsconfig.json,packages/shared/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,packages/shared/vitest.config.ts,packages/shared/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,pipelines/intelligence/requirements.txt,pipelines/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,pipelines/scraper/requirements.txt,pipelines/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,pipelines/yc-scraper/requirements.txt,pipelines/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,services/application-engine/package.json,services/application-engine/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,services/application-engine/tsconfig.json,services/application-engine/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
pilot,configuration,services/cofounder-engine/package.json,services/cofounder-engine/README.md,maintainer,reference,owned-active,npm run docs:coverage && npm run docs:truth,covered,Coverage row generated from active source/config/route discovery; canonical doc must be updated when the source surface changes lifecycle or interface.
